	pielou_e
PFF_Cecum_11	0.7797824118457751
PFF_Cecum_12	0.6691661566405289
PFF_Cecum_13	0.8111597797827292
PFF_Cecum_14	0.7069523816391213
PFF_Cecum_15	0.7635912541841046
PFF_Cecum_16	0.7464629803443256
PFF_Cecum_17	0.7653358992625673
PFF_Cecum_18	0.6038465936239199
PFF_Cecum_19	0.5506744946286649
PFF_Cecum_1904	0.7294141120205517
PFF_Cecum_1906	0.7615275690103557
PFF_Cecum_1907	0.7881416593863204
PFF_Cecum_1908	0.7088897402749538
PFF_Cecum_1910	0.7539086078163962
PFF_Cecum_1913	0.7027041376917885
PFF_Cecum_1914	0.7805678261246332
PFF_Cecum_1917	0.7576815166333901
PFF_Cecum_1920	0.8171431810453894
PFF_Cecum_1921	0.7854434834223502
PFF_Cecum_1937	0.7486057395222031
PFF_Cecum_1938	0.7858073023269723
PFF_Cecum_1941	0.7635407495880948
PFF_Cecum_1942	0.6176189792680753
PFF_Cecum_1943	0.6961740579085488
PFF_Cecum_1944	0.7684485921259996
PFF_Cecum_1945	0.6736086166551306
PFF_Cecum_21	0.6620642359750217
PFF_Cecum_25	0.5959148241624873
PFF_Cecum_27	0.6952428933087852
PFF_Cecum_28	0.8058933302712802
PFF_Cecum_30	0.7708885577726113
PFF_Cecum_32	0.8631121352829244
PFF_Cecum_35	0.8077806652055021
PFF_Cecum_36	0.7548252331820284
PFF_Cecum_37	0.7236330169041365
