	observed_features
SLCDTT145	398
SLCDTT146	279
SLCDTT147	332
SLCDTT151	268
SLCDTT152	297
SLCDTT153	275
SLCDTT157	389
SLCDTT158	337
SLCDTT159	337
SLCDTT163	397
SLCDTT164	306
SLCDTT165	301
SLCDTT169	257
SLCDTT170	321
SLCDTT171	275
SLCDTT175	339
SLCDTT176	304
SLCDTT177	316
SLCdtt001	104
SLCdtt002	281
SLCdtt003	252
SLCdtt007	222
SLCdtt008	289
SLCdtt009	231
SLCdtt013	290
SLCdtt014	194
SLCdtt015	356
SLCdtt019	169
SLCdtt020	231
SLCdtt021	187
SLCdtt025	232
SLCdtt026	261
SLCdtt027	267
SLCdtt031	218
SLCdtt032	236
SLCdtt033	209
SLCdtt037	286
SLCdtt038	259
SLCdtt039	240
SLCdtt044	235
SLCdtt045	155
SLCdtt050	250
SLCdtt051	242
SLCdtt055	124
SLCdtt056	198
SLCdtt057	217
SLCdtt061	125
SLCdtt062	281
SLCdtt063	250
SLCdtt067	218
SLCdtt068	205
SLCdtt069	283
SLCdtt074	296
SLCdtt075	211
SLCdtt079	220
SLCdtt080	231
SLCdtt081	195
SLCdtt087	223
SLCdtt091	164
SLCdtt092	204
SLCdtt093	267
SLCdtt097	272
SLCdtt098	189
SLCdtt099	180
SLCdtt103	196
SLCdtt105	180
SLCdtt109	217
SLCdtt110	235
SLCdtt111	217
SLCdtt115	158
SLCdtt116	142
SLCdtt117	186
SLCdtt121	201
SLCdtt122	167
SLCdtt123	190
SLCdtt128	264
SLCdtt129	177
SLCdtt133	202
SLCdtt134	246
SLCdtt135	212
SLCdtt139	144
SLCdtt140	178
SLCdtt141	217
